type,start,_end,end,title,description,category,project,keyword,people,places,works,artistic,additional,display temporal,source,displayTemporal,reference,image,VRobject,Event_ID
Biography,1898-01-22,,,Sergei Eisenstein is born.,"Sergei Eisenstein is born in Riga in Nikolai Street 6, apartment no. 7.",Biography and Personality,Childhood,,Iulia Konetskaia;Mikhail Eisenstein,Russian Empire;Latvia;Riga,,,,,Sudendorf;Werner (1975): 'Sergej M. Eisenstein – Materialien zu Leben und Werk'. München/Wien: Carl Hanser Verlag;p. 11 f.,,,,,birth
Biography,1898-02-15,,,Eisenstein is baptized.,Sergei Eisenstein is baptized in Riga Cathedral.,Biography and Personality,Childhood,,Iulia Konetskaia;Mikhail Eisenstein,Russian Empire;Latvia;Riga,,,,,Sudendorf;Werner (1975): 'Sergej M. Eisenstein – Materialien zu Leben und Werk'. München/Wien: Carl Hanser Verlag;p. 12,,,a col,,baptism
Biography,1901-00-00,1901-00-00,1902-00-00,Has earliest childhood memories of a summer stay in the country at Riga Bay. ,"Sergei Eisenstein spends the summer at the Riga Bay. He dates his earliest childhood memories back to this stay in the country. ""A branch of white lilac, striped by a diagonally falling sunbeam, looks in through the window. Swings above me. My first conscious impression - the close-up."" (Stationen. Autobiographische Aufzeichnungen. Ü.: R. Braun. Berlin/DDR 1967., p. 367) In connection with the experience of later reading Edgar Allan Poe's arabesque 'The Sphinx' (1846), he attributes his interest in foreground composition to this fragment of memory.",Biography and Personality,Childhood,Edgar Allan Poe;The Sphinx,Edgar Allan Poe;Iulia Konetskaia;Mikhail Eisenstein,Russian Empire;Latvia;Riga Bay,,,,1901 or 1902,Sudendorf;Werner (1975): 'Sergej M. Eisenstein – Materialien zu Leben und Werk'. München/Wien: Carl Hanser Verlag;p. 13,1901 or 1902,,,,memory_first
Biography,1904-00-00,1904-00-00,,Sees an amateur theatre performance by his relatives.,Again Sergei Eisenstein spends the summer in a summer house at the Riga Bay. He sees an amateur performance of 'The Butler Did It'. His relatives stage the play.,Biography and Personality,Childhood,,Iulia Konetskaia;Mikhail Eisenstein,Russian Empire;Latvia;Riga Bay,,,,1904,Sudendorf;Werner (1975): 'Sergej M. Eisenstein – Materialien zu Leben und Werk'. München/Wien: Carl Hanser Verlag;pp. 13 f.,1904,,,,theatre_performance_first
Biography,1905-00-00,1905-00-00,,Witnesses the repression of demonstrators by the tsarist police during the First Russian Revolution.,Sergei Eisenstein witnesses the repression of demonstrators by the tsarist police during the First Russian Revolution.,Biography and Personality,First Russian revolution,Revolution,,Russian Empire;Latvia;Riga,,,First Russian Revolution,1905,Sudendorf;Werner (1975): 'Sergej M. Eisenstein – Materialien zu Leben und Werk'. München/Wien: Carl Hanser Verlag;p. 14,1905,,,,first_russian_revolution
Biography,1906-00-00,1908-00-00,1908-00-00,Travels to Paris with his parents.,"Sergei Eisenstein travels to Paris with his parents. They stay at the Hotel Du Helder in Rue du Helder. He has his first cinema going experience. He visits Napoleon's tomb, Notre Dame, the Botanical Garden and the waxworks cabinet in the Musée Grevin. Scenes from the waxwork inspire him while working on the Sergei Tretiakov play 'Can You Hear Me, Moscow?' and his own film 'October'.",Biography and Personality;Cinema and Theatre,,Sergei Tretiakov;Can You Hear Me Moscow?;October;Travels,Sergei Tretiakov;Iulia Konetskaia;Mikhail Eisenstein,France;Paris;Travels,Can You Hear Me٫ Moscow?;October: Ten Days That Shook the World,,,1906 or 1908,Sudendorf;Werner (1975): 'Sergej M. Eisenstein – Materialien zu Leben und Werk'. München/Wien: Carl Hanser Verlag;p. 15,1906 or 1908,,,,travel_paris_first
Biography,1909-00-00,1909-00-00,,Sergei Eisenstein's parents separate.,Sergei Eisenstein's mother Iulia Konetskaia separates from her husband and moves to St. Petersburg to Tavricheskaia street 9. Sergei Eisenstein stays with his father in Riga.,Biography and Personality,,Iulia Konetskaia;Mikhail Eisenstein;Parents,Iulia Konetskaia;Mikhail Eisenstein,Russian Empire;Latvia;Russia;Riga;St. Petersburg,,,,1909,Sudendorf;Werner (1975): 'Sergej M. Eisenstein – Materialien zu Leben und Werk'. München/Wien: Carl Hanser Verlag;p. 16,1909,,,,parental_separation
Biography,1908-00-00,1908-00-00,,Sergei Eisenstein learns English and French.,"Sergei Eisenstein is learning English and French; since he lives in Riga, he already speaks better German than Russian.",Biography and Personality,Education,,,Russian Empire;Latvia;Riga,,,,1908,Sudendorf;Werner (1975): 'Sergej M. Eisenstein – Materialien zu Leben und Werk'. München/Wien: Carl Hanser Verlag;p. 15,1908,,,,studying_languages
Graphic,1908-00-00,1908-00-00,,Discovers caricatures of André Gill and Honoré Daumier.,"In his father's library Sergei Eisenstein finds a book entitled 'Das Jahr 1871 und die Pariser Kommune';, in which he discovers caricatures of André Gill and Honoré Daumier, which fascinate him so much that he persuades the housekeeper to buy a Daumier monograph. In a later study of the sensation of a movement sequence, he draws conclusions from Daumier's caricatures about the construction of an artificially generated movement.",Graphic Art;Biography and Personality;Writing and Teaching,Education,The Year 1871 and The Paris Commune;André Gill;Honoré Daumier;Das Jahr 1871 und die Pariser Kommune;Studies,André Gill;Honoré Daumier;Mikhail Eisenstein,Russian Empire;Latvia;Riga,,Caricature;Movement,The Paris Commune,1908,Sudendorf;Werner (1975): 'Sergej M. Eisenstein – Materialien zu Leben und Werk'. München/Wien: Carl Hanser Verlag;p. 15,1908,,,,studying_daumier_caricatures
Biography,1908-00-00,1913-00-00,1913-00-00,Reads french novels.,Sergei Eisenstein reads Victor Hugo's novel 'Les Misérables' (1862); until 1913 novels by Alexandre Dumas père and Émile Zola's novel cycle 'Les Rougon-Macquart' (1871-1893).,Biography and Personality,,Victor Hugo;Les Misérables;Alexandre Dumas père;Emile Zola;Les Rougon-Macquart,Victor Hugo;Alexandre Dumas père;Émile Zola,Russian Empire;Latvia;Riga,,,,Between 1908 and 1913,Sudendorf;Werner (1975): 'Sergej M. Eisenstein – Materialien zu Leben und Werk'. München/Wien: Carl Hanser Verlag;p. 15,Between 1908 and 1913,,,,reading_french_novels
