type,idx,date,,year,info,hover,category,project,keyword,first,number,number1
Biography,1,1898-01-23,,1898,Eisenstein is born.,"Eisenstein is born in Riga in Nikolai Street 6, apartment no. 7.",Biography and Personality,Childhood,,1,20,20
Biography,2,1898-02-15,,1898,Eisenstein is baptized.,Eisenstein is baptized in Riga Cathedral.,Biography and Personality,Childhood,,,20,20
Biography,3,1901-00-00,,1901,Has earliest childhood memories of a summer stay in the country at Riga Bay. ,"Eisenstein spends the summer at the Riga Bay. He dates his earliest childhood memories back to this stay in the country. ""A branch of white lilac, striped by a diagonally falling sunbeam, looks in through the window. Swings above me. My first conscious impression - the close-up."" (Stationen. Autobiographische Aufzeichnungen. Ü.: R. Braun. Berlin/DDR 1967., p. 367) In connection with the experience of later reading Edgar Allan Poes arabesque The Sphinx (1846), he attributes his interest in foreground composition to this fragment of memory.",Biography and Personality,Childhood,Edgar Allan Poe;The Sphinx,1,20,20
Biography,4,1904-00-00,,1904,Sees an amateur theatre performance by his relatives.,"Again E. spends the summer in a summer house at the Riga Bay. He sees an amateur performance of ""Das Versagen des Offiziersburschen"". His relatives stage the play.",Biography and Personality,Childhood,,1,20,20
Biography,5,1905-00-00,,1905,Witnesses the repression of demonstrators by the tsarist police during the first Russian revolution.,Eisenstein witnesses the repression of demonstrators by the tsarist police during the first Russian revolution.,Biography and Personality,First Russian revolution,Revolution,1,20,20
Biography,6,1906-00-00,,1906,Travels to Paris with his parents.,"Eisenstein travels to Paris with his parents. They stay at the Hotel Du Helder in Rue du Helder. He has his first cinema going experience. He visits Napoleons tomb, Notre Dame, the Botanical Garden and the waxworks cabinet in the Musée Grevin. Scenes from the waxwork inspire him while working on the Sergei Tretjakov play Can You Hear Me, Moscow? and his own film October.",Biography and Personality;Cinema and Theatre,,Sergei Tret'jakov;Can You Hear Me Moscow?;October;Travels,1,20,20
Graphic,9,1908-00-00,,1908,Discovers caricatures of André Gill and Honoré Daumier,"In his fathers library Eisenstein finds a book entitled Das Jahr 1871 und die Pariser Kommune;, in which he discovers caricatures of André Gill and Honoré Daumier, which fascinate him so much that he persuades the housekeeper to buy a Daumier monograph. In a later study of the sensation of a movement sequence, he draws conclusions from Daumiers caricatures about the construction of an artificially generated movement.",Graphic Art;Biography and Personality;Writing and Teaching,Education,The Year 1871 and The Paris Commune;André Gill;Honoré Daumier;Das Jahr 1871 und die Pariser Kommune;Studies,,,20
Biography,10,1908-00-00,,1908,Reads french novels.,Eisenstein reads Victor Hugos novel Les Misérables (1862); until 1913 novels by Alexandre Dumas Père and Émile Zolas novel cycle Les Rougon-Macquart (1871-1893).,Biography and Personality,,Victor Hugo;Les Misérables;Alexandre Dumas Père;Emile Zola;Les Rougon-Macquart,,20,20
Biography,11,1908-00-00,,1908,Eisenstein and Maksim Štrauch become friends.,"Beginning of the friendship with Maksim Štrauch, with whom Eisenstein later works on many theater and film productions.",Biography and Personality;Cinema and Theatre,,Maksim Štrauch,,20,20
Cinema,12,1908-00-00,,1908,Writes and directs his first play.,Eisenstein writes and directs his first play based on a Pamphlet brochure against drunkenness.,Cinema and Theatre,,,,1,20
Biography,13,1908-00-00,,1908,Admitted to the Riga City Real-gymnasium,Eisenstein is admitted to the first class of Riga City Real-gymnasium in autumn.,Biography and Personality,Education,,,20,20
