type,start,end,_end,title,description,category,project,keyword
Biography,1898-01-23,,,"Sergei Eisenstein is born.Photo of Sergei Eisensteins mother, father and grandmother","Sergei Eisenstein is born in Riga in Nikolai Street 6, apartment no. 7.Michaïl Ossipovič Eisenstein (father),  Julija Ivanova (mother) and Iraïda Mateevna Koneckij (grandmother), Riga 1897",Biography and Personality,Childhood,
Biography,1898-02-15,,,Eisenstein is baptized.,Sergei Eisenstein is baptized in Riga Cathedral.,Biography and Personality,Childhood,
Biography,1901-00-00,1901-00-00,,Has earliest childhood memories of a summer stay in the country at Riga Bay. ,"Sergei Eisenstein spends the summer at the Riga Bay. He dates his earliest childhood memories back to this stay in the country. ""A branch of white lilac, striped by a diagonally falling sunbeam, looks in through the window. Swings above me. My first conscious impression - the close-up."" (Stationen. Autobiographische Aufzeichnungen. Ü.: R. Braun. Berlin/DDR 1967., p. 367) In connection with the experience of later reading Edgar Allan Poes arabesque The Sphinx (1846), he attributes his interest in foreground composition to this fragment of memory.",Biography and Personality,Childhood,Edgar Allan Poe;The Sphinx
Biography,1904-00-00,1904-00-00,,Sees an amateur theatre performance by his relatives.,Again Sergei Eisenstein spends the summer in a summer house at the Riga Bay. He sees an amateur performance of The Butler Did It. His relatives stage the play.,Biography and Personality,Childhood,
Biography,1905-00-00,1905-00-00,,Witnesses the repression of demonstrators by the tsarist police during the First Russian Revolution.,Sergei Eisenstein witnesses the repression of demonstrators by the tsarist police during the First Russian Revolution.,Biography and Personality,First Russian revolution,Revolution
Biography,1906-00-00,1908-00-00,1908-00-00,Travels to Paris with his parents.,"Sergei Eisenstein travels to Paris with his parents. They stay at the Hotel Du Helder in Rue du Helder. He has his first cinema going experience. He visits Napoleons tomb, Notre Dame, the Botanical Garden and the waxworks cabinet in the Musée Grevin. Scenes from the waxwork inspire him while working on the Sergei Tretjakov play Can You Hear Me, Moscow? and his own film October.",Biography and Personality;Cinema and Theatre,,Sergei Tret'jakov;Can You Hear Me Moscow?;October;Travels
Biography,1909-00-00,1909-00-00,,Sergei Eisensteins parents separate.,Sergei Eisensteins mother Julija Ivanova separates from her husband and moves to St. Petersburg to Tavričeskaja street 9. Sergei Eisenstein stays with his father in Riga.,Biography and Personality,,Julija Ivanova;Michaïl Ossipovič Eisenstein;Parents
Biography,1908-00-00,1908-00-00,,Sergei Eisenstein learns English and French,"Sergei Eisenstein is learning English and French; since he lives in Riga, he already speaks better German than Russian.",Biography and Personality,Education,
Graphic,1908-00-00,1908-00-00,,Discovers caricatures of André Gill and Honoré Daumier,"In his fathers library Sergei Eisenstein finds a book entitled Das Jahr 1871 und die Pariser Kommune;, in which he discovers caricatures of André Gill and Honoré Daumier, which fascinate him so much that he persuades the housekeeper to buy a Daumier monograph. In a later study of the sensation of a movement sequence, he draws conclusions from Daumiers caricatures about the construction of an artificially generated movement.",Graphic Art;Biography and Personality;Writing and Teaching,Education,The Year 1871 and The Paris Commune;André Gill;Honoré Daumier;Das Jahr 1871 und die Pariser Kommune;Studies
Biography,1908-00-00,1913-00-00,1913-00-00,Reads french novels.,Sergei Eisenstein reads Victor Hugos novel Les Misérables (1862); until 1913 novels by Alexandre Dumas Père and Émile Zolas novel cycle Les Rougon-Macquart (1871-1893).,Biography and Personality,,Victor Hugo;Les Misérables;Alexandre Dumas Père;Emile Zola;Les Rougon-Macquart
